target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,240
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,241
0,OTHER,elementary,Corporate,110390,0,1,0,11.368974014,45.023452354,3.2547945205,1,1,0.0082191781,244
0,OTHER,advanced,,15000,0,0,0,2.0521953405,41.670589116,3.073328842,0,0,10.533602815,248
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,255
0,2NDFL,elementary,,87765,0,0,0,2.2523521505,26.67881578,2.0705966015,0,0,6.5993637248,262
0,2NDFL,elementary,,158775,0,0,1,0.7034722222,33.400172169,1.9561643836,1,2,9.4411557751,263
0,OTHER,advanced,,32250,0,0,0,8.2455197133,48.75440527,3.0191780822,0,0,3.7534246575,272
0,OTHER,elementary,,150000,0,0,1,0.3761648746,40.25713751,1.9808219178,0,0,4.1205254884,277
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,283
0,OTHER,advanced,,60000,0,0,1,0.8965949821,38.794520548,7.2931506849,1,1,11.243835616,309
0,OTHER,high,Corporate,31007,0,1,0,21.407078853,47.715629912,0.3797814208,0,0,2.6443970357,311
0,OTHER,advanced,,50000,0,0,1,1.115703405,30.315068493,4.8283030167,0,0,8.0054794521,321
0,2NDFL,elementary,Corporate,77608,0,0,1,0.4450268817,30.624657534,0.705224942,1,1,10.189041096,350
0,OTHER,elementary,Corporate,105790,0,1,,,47.221311475,0.9970207351,,,2.1148289543,352
0,OTHER,advanced,Corporate,16704,0,1,0,24.570564516,47.302253163,3.7677595628,0,0,2.2091024777,357
0,OTHER,elementary,VIP,210000,0,0,,,37.242593008,8.0301369863,,,11.224657534,358
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,363
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,366
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,369
0,OTHER,elementary,Corporate,35761,0,1,,,29.170461861,1.0802979265,,,6.7205479452,371
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,375
0,2NDFL,elementary,,88617,0,0,0,0.6008960573,38.455835018,3.2065199491,0,0,10.576382963,378
0,2NDFL,elementary,,26322,0,0,1,4.4076836918,33.98630137,13.539726027,1,1,10.424657534,384
0,2NDFL,beginner,,,0,1,0,0.279905914,32.191690995,5.2575342466,0,0,9.9397260274,389
0,OTHER,advanced,Corporate,29667,0,1,,,49.204476383,14.785298301,,,4.1147540984,393
0,OTHER,elementary,,30000,0,0,,,38.98630137,17.928767123,,,4.9629089004,394
0,OTHER,advanced,Corporate,27311,0,1,1,0.9863351254,30.592506924,1.0692192529,0,0,7.0856576091,395
0,OTHER,elementary,Corporate,50569,0,1,1,0.7632168459,26.602986751,0.412568306,0,0,4.1994535519,396
0,2NDFL,elementary,,82662,0,0,,,32.205479452,4.4246575342,,,6.3808219178,411
0,OTHER,elementary,Corporate,56862,0,1,0,21,40.620375777,15.391780822,0,0,9.7315068493,414
0,OTHER,elementary,Corporate,65473,0,0,,,32.772235946,4.3917808219,,,12.128767123,415
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,421
0,2NDFL,elementary,,83002,0,0,0,0.5377688172,37.384953964,5.4068717718,0,0,11.371255333,427
0,2NDFL,beginner,,87000,0,0,0,14.597603047,38.970252264,14.989430347,1,1,9.6113481548,428
0,OTHER,advanced,,140000,0,0,,,36.126027397,0.3397260274,,,3.6547945205,433
0,OTHER,elementary,Corporate,48092,0,1,,,43.665753425,1.2443296654,,,10.405479452,434
0,OTHER,elementary,Corporate,21108,0,1,1,1.3079749104,46.350250767,7.1584699454,0,0,1.2653192604,435
0,OTHER,elementary,,50000,0,0,,,30.216438356,0.5093569878,,,9.2552586271,443
0,2NDFL,high,,39672,0,0,1,1.0867159498,38.381705217,13.362527135,0,0,5.039239464,449
0,OTHER,advanced,Corporate,22849,0,1,1,1.1833781362,33.725226439,4.8265963021,0,0,10.155363425,450
