,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
45,1000916,Форма банка (без печати работодателя),Ремонт,0.0,0.38,мужской,1,0,среднее-специальное,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1000936,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.59,мужской,1,0,среднее-специальное,вспомогательный персонал,>250,0.0,145.0,35.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0627306273,1.0,0.0,0.0,0.0,0.3,3.0,7.0,254.0,10.0,1.0,1.0,22.0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1000956,Поступление зарплаты на счет,Ремонт,0.0,0.41,мужской,1,0,высшее,менеджер среднего звена,< 50,0.0,24.0,45.0,Другое,ООО,женат / замужем,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
48,1000976,2НДФЛ,Покупка автомобиля,0.0,0.49,женский,0,0,среднее-специальное,специалист,>250,0.0,29.0,49.0,Строительство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1000996,Поступление зарплаты на счет,Отпуск,1.0,0.24,женский,0,0,высшее,специалист,>250,0.0,39.0,25.0,Торговля,ЗАО,холост / не замужем,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1001016,Свободная форма с печатью работодателя,Покупка автомобиля,0.0,0.11,мужской,0,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1001036,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.59,женский,0,0,среднее-специальное,специалист,>250,0.0,109.0,49.0,Торговля,ООО,холост / не замужем,1.0,1.0,1.0,1.0,0.0,0.0161290323,0.0,1.0,0.0,0.0,1.0,3.0,0.0,61.0,3.0,2.0,0.0,3.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1001056,Форма банка (без печати работодателя),Другое,1.0,0.46,женский,1,0,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,>250,0.0,66.0,31.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0505617978,0.0,0.0,0.0,0.0,0.3333333333,2.0,4.0,169.0,6.0,0.0,3.0,27.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1001076,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.34,мужской,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,77.0,54.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1001096,Поступление зарплаты на счет,Ремонт,0.0,0.55,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,102.0,46.0,Торговля,ЗАО,холост / не замужем,1.0,1.0,1.0,1.0,1.0,0.2010869565,0.0,0.0,0.0,0.0,0.4,4.0,6.0,147.0,10.0,2.0,0.0,21.0,163.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
